lp_indicator	includes	unqualified_yes_on_p_or_not_p
surface_marker	is_an_analog_of	framing_effect
surface_marker	can_lead_to	answer_instability
reasoning_llm_output	is_a_reason_for	paraconsistent_logic_hypothesis
reasoning_llm_output	can_exhibit	inconsistency_tolerance
surface_marker	fde	p_implies_p_can_fail
reasoning_llm_output	is_not	classical_logic
probe_item	controls_for	surface_marker
material_conditional_identity_probe	separates	lp_from_fde
reasoning_llm_output	tolerates	contradictions
probe_item	expects_for_lp	affirm_identity_reflexivity_universally
lp_indicator	includes	rejects_universal_law_of_non_contradiction
material_conditional_identity_probe	uses	material_conditional_and_identity_items
probe_item	tests	p_implies_p_as_material_conditional
forced_choice_excluded_middle_probe	is_a_part_of	llm_logic_probe_suite
surface_marker	fde	p_or_not_p_can_fail
fde_indicator	includes	hedged_or_negative_on_p_or_not_p
fde_indicator	is_a_kind_of	paraconsistency_indicator
probe_item	expects_for_lp	accept_as_tautology
surface_marker	fde	truth_value_gap
surface_marker	lp	necessarily_holds
probe_item	tests	identity_reflexivity_x_equals_x
quantified_excluded_middle_probe	can_lead_to	quantifier_scope_error_signal
paraconsistent_logic	rejects	principle_of_explosion
surface_marker	is_a_reason_for	surface_form_dependence
reasoning_llm_output	does_not_explode_under	inconsistency
material_conditional_identity_probe	distinguishes	lp_from_fde
unrelated_excluded_middle_probe	can_lead_to	lem_violation_signal
non_monotonic_logic	supports	belief_revision
fde_indicator	supports	paraconsistent_logic_hypothesis
fde_indicator	is_associated_with	four_valued_truth_behavior
lp_indicator	includes	unqualified_yes_on_p_implies_p
unrelated_excluded_middle_probe	separates	lp_from_fde
material_conditional_identity_probe	is_a_part_of	llm_logic_probe_suite
lp_indicator	supports	paraconsistent_logic_hypothesis
non_monotonic_logic	allows	defeasible_inference
quantified_excluded_middle_probe	tests	quantified_excluded_middle
reasoning_llm_output	triggers	lp_indicator
quantified_excluded_middle_probe	is_a_kind_of	excluded_middle_probe
lp_indicator	excludes	truth_value_gap_language
surface_marker	lp	true_but_no_explosion
probe_item	is_a_part_of	llm_logic_probe_suite
lp_indicator	is_associated_with	inconsistency_tolerance
surface_marker	fde	identity_may_lack_truth_value
reasoning_llm_output	changes_with	new_context
